"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Comment[Run Number]"	"Parameter Value[Separation Type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Separation instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Separation Column Model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass spectrometry instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ionization Polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Fragmentation type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Comment[Raw Data File name - Positive Ionization]"	"Comment[Raw Data File Name- Negative Ionization]"	"Comment[Raw Spectral Data File- Exchange format (.mzML)]"	"Comment[Raw data file name (mzML)- Positive Ionization]"	"Comment[Raw Data File name (mzML)- Negative Ionization]"	"Protocol REF"	"Normalization Name"	"Data Transformation Name"	"Comment[Peptide Database]"	"Metabolite Assignment File"	"Comment[Data dictionary file]"
"Bsub_168_cells_GC_Rep7"	"metabolite extraction"	"GC_BS-C2_Pellet"	"metabolomics labeling"	"GC_BS-C2_Pellet_034"	""	""	""	"metabolomics mass spectrometry"	"65"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"065_posCSH_GC_BS-C2_Pellet_034_MX340473.d"	"065_negCSH_GC_BS-C2_Pellet_034_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"065_posCSH_GC_BS-C2_Pellet_034_MX340473.mzML"	"065_negCSH_GC_BS-C2_Pellet_034_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_GC_Rep8"	"metabolite extraction"	"GC_BS-C3_Pellet"	"metabolomics labeling"	"GC_BS-C3_Pellet_035"	""	""	""	"metabolomics mass spectrometry"	"74"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"074_posCSH_GC_BS-C3_Pellet_035_MX340473.d"	"074_negCSH_GC_BS-C3_Pellet_035_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"074_posCSH_GC_BS-C3_Pellet_035_MX340473.mzML"	"074_negCSH_GC_BS-C3_Pellet_035_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_GC_Rep9"	"metabolite extraction"	"GC_BS-C4_Pellet"	"metabolomics labeling"	"GC_BS-C4_Pellet_036"	""	""	""	"metabolomics mass spectrometry"	"59"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"059_posCSH_GC_BS-C4_Pellet_036_MX340473_*.d"	"059_negCSH_GC_BS-C4_Pellet_036_MX340473_*.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"059_posCSH_GC_BS-C4_Pellet_036_MX340473_*.mzML"	"059_negCSH_GC_BS-C4_Pellet_036_MX340473_*.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_CTRL_ASAP_Rep1"	"metabolite extraction"	"PC_BS-ASAP1_Pellet"	"metabolomics labeling"	"PC_BS-ASAP1_Pellet_045"	""	""	""	"metabolomics mass spectrometry"	"63"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"063_posCSH_PC_BS-ASAP1_Pellet_045_MX349158_*.d"	"063_negCSH_PC_BS-ASAP1_Pellet_045_MX349158_*.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"063_posCSH_PC_BS-ASAP1_Pellet_045_MX349158_*.mzML"	"063_negCSH_PC_BS-ASAP1_Pellet_045_MX349158_*.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_CTRL_ASAP_Rep2"	"metabolite extraction"	"PC_BS-ASAP2_Pellet"	"metabolomics labeling"	"PC_BS-ASAP2_Pellet_046"	""	""	""	"metabolomics mass spectrometry"	"30"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"030_posCSH_PC_BS-ASAP2_Pellet_046_MX349158.d"	"030_negCSH_PC_BS-ASAP2_Pellet_046_MX349158.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"030_posCSH_PC_BS-ASAP2_Pellet_046_MX349158.mzML"	"030_negCSH_PC_BS-ASAP2_Pellet_046_MX349158.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_CTRL_ASAP_Rep3"	"metabolite extraction"	"PC_BS-ASAP3_Pellet"	"metabolomics labeling"	"PC_BS-ASAP3_Pellet_047"	""	""	""	"metabolomics mass spectrometry"	"23"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"023_posCSH_PC_BS-ASAP3_Pellet_047_MX349158.d"	"023_negCSH_PC_BS-ASAP3_Pellet_047_MX349158.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"023_posCSH_PC_BS-ASAP3_Pellet_047_MX349158.mzML"	"023_negCSH_PC_BS-ASAP3_Pellet_047_MX349158.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_CTRL_ASAP_Rep4"	"metabolite extraction"	"PC_BS-ASAP4_Pellet"	"metabolomics labeling"	"PC_BS-ASAP4_Pellet_048"	""	""	""	"metabolomics mass spectrometry"	"35"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"035_posCSH_PC_BS-ASAP4_Pellet_048_MX349158.d"	"035_negCSH_PC_BS-ASAP4_Pellet_048_MX349158.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"035_posCSH_PC_BS-ASAP4_Pellet_048_MX349158.mzML"	"035_negCSH_PC_BS-ASAP4_Pellet_048_MX349158.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_CTRL_FRZN_Rep1"	"metabolite extraction"	"PC_BS-FRZN8_Pellet"	"metabolomics labeling"	"PC_BS-FRZN8_Pellet_049"	""	""	""	"metabolomics mass spectrometry"	"75"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"075_posCSH_PC_BS-FRZN8_Pellet_049_MX349158.d"	"075_negCSH_PC_BS-FRZN8_Pellet_049_MX349158.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"075_posCSH_PC_BS-FRZN8_Pellet_049_MX349158.mzML"	"075_negCSH_PC_BS-FRZN8_Pellet_049_MX349158.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_CTRL_FRZN_Rep2"	"metabolite extraction"	"PC_BS-FRZN9_Pellet"	"metabolomics labeling"	"PC_BS-FRZN9_Pellet_050"	""	""	""	"metabolomics mass spectrometry"	"14"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"014_posCSH_PC_BS-FRZN9_Pellet_050_MX349158.d"	"014_negCSH_PC_BS-FRZN9_Pellet_050_MX349158.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"014_posCSH_PC_BS-FRZN9_Pellet_050_MX349158.mzML"	"014_negCSH_PC_BS-FRZN9_Pellet_050_MX349158.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_CTRL_FRZN_Rep3"	"metabolite extraction"	"PC_BS-FRZN10_Pellet"	"metabolomics labeling"	"PC_BS-FRZN10_Pellet_051"	""	""	""	"metabolomics mass spectrometry"	"48"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"048_posCSH_PC_BS-FRZN10_Pellet_051_MX349158.d"	"048_negCSH_PC_BS-FRZN10_Pellet_051_MX349158.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"048_posCSH_PC_BS-FRZN10_Pellet_051_MX349158.mzML"	"048_negCSH_PC_BS-FRZN10_Pellet_051_MX349158.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_CTRL_FRZN_Rep4"	"metabolite extraction"	"PC_BS-FRZN11_Pellet"	"metabolomics labeling"	"PC_BS-FRZN11_Pellet_052"	""	""	""	"metabolomics mass spectrometry"	"51"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"051_posCSH_PC_BS-FRZN11_Pellet_052_MX349158.d"	"051_negCSH_PC_BS-FRZN11_Pellet_052_MX349158.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"051_posCSH_PC_BS-FRZN11_Pellet_052_MX349158.mzML"	"051_negCSH_PC_BS-FRZN11_Pellet_052_MX349158.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
